indicateur_id,nom_indicateur,nom_origine,theme,definition,unite,source,annee,statut,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,libelle_court,secteur,dispo_province,dispo_commune,sens,mots_cles
98,pct_sexe_masculin,pct_sexe_masculin,demography,pct_sexe_masculin. Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_population_rural,long,valeur,pct_sexe_masculin,territoire_id,pct_sexe_masculin,non cartographiable,False,False,,
99,Population rural — pct_veuf,pct_veuf,demography,Population rural — pct_veuf. Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_population_rural,long,valeur,pct_veuf,territoire_id,pct_veuf,non cartographiable,False,False,,
100,Population rural,population,demography,Population rural. Thème : demography. [Traçabilité : source RGPH 2024.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_population_rural,long,valeur,population,territoire_id,Population rural,non cartographiable,False,False,neutre,
101,population_15ans_plus,population_15ans_plus,demography,population_15ans_plus. Thème : demography. [Traçabilité : source RGPH 2024.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_population_rural,long,valeur,population_15ans_plus,territoire_id,population_15ans_plus,non cartographiable,False,False,neutre,
102,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh). Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),territoire_id,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) — Amazigh (Tifinagh),Éducation,True,True,neutre,
103,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,territoire_id,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) — Anglais,Éducation,True,True,neutre,
104,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,territoire_id,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) — Arabe,Éducation,True,True,neutre,
105,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,territoire_id,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) — Français,Éducation,True,True,neutre,
106,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,education,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,territoire_id,Niveau d'études dans l'enseignement général — Aucun niveau d'études,Éducation,True,True,bas_mieux,
107,Niveau d'études dans l'enseignement général (%) - Primaire,Niveau d'études dans l'enseignement général (%) - Primaire,education,Niveau d'études dans l'enseignement général (%) - Primaire. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Primaire,territoire_id,Niveau d'études dans l'enseignement général — Primaire,Éducation,True,True,neutre,
108,Niveau d'études dans l'enseignement général (%) - Préscolaire,Niveau d'études dans l'enseignement général (%) - Préscolaire,education,Niveau d'études dans l'enseignement général (%) - Préscolaire. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Préscolaire,territoire_id,Niveau d'études dans l'enseignement général — Préscolaire,Éducation,True,True,neutre,
109,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,education,Niveau d'études dans l'enseignement général (%) - Secondaire collégial. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,territoire_id,Niveau d'études dans l'enseignement général — Secondaire collégial,Éducation,True,True,haut_mieux,
110,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,education,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,territoire_id,Niveau d'études dans l'enseignement général — Secondaire qualifiant,Éducation,True,True,haut_mieux,
111,Niveau d'études dans l'enseignement général (%) - Supérieur,Niveau d'études dans l'enseignement général (%) - Supérieur,education,Niveau d'études dans l'enseignement général (%) - Supérieur. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Supérieur,territoire_id,Niveau d'études dans l'enseignement général — Supérieur,Éducation,True,True,neutre,
112,Etab scoalires mesures rgph2024 population educati — Population alphabète de 10 ans et plus,Population alphabète de 10 ans et plus,education,Etab scoalires mesures rgph2024 population educati — Population alphabète de 10 ans et plus. Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Population alphabète de 10 ans et plus,territoire_id,Population alphabète de 10 ans et plus,Éducation,True,True,neutre,
113,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 10 ans et plus (%),Taux d'analphabétisme des 10 ans et plus (%),education,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 10 ans et plus (%). Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 10 ans et plus (%),territoire_id,Taux d'analphabétisme des 10 ans et plus,Éducation,True,True,bas_mieux,
114,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 15 ans et plus (%),Taux d'analphabétisme des 15 ans et plus (%),education,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 15 ans et plus (%). Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 15 ans et plus (%),territoire_id,Taux d'analphabétisme des 15 ans et plus,Éducation,True,True,bas_mieux,
115,Taux de scolarisation des 6-11 ans en 2023/2024 (%),Taux de scolarisation des 6-11 ans en 2023/2024 (%),education,Taux de scolarisation des 6-11 ans en 2023/2024 (%). Thème : education. [Traçabilité : vérifié : 126/126 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux de scolarisation des 6-11 ans en 2023/2024 (%),territoire_id,Taux de scolarisation des 6-11 ans en 2023/2024,Éducation,True,True,haut_mieux,
116,Écoles publiques recensées (province) — collégial,Nombre d'établissements collegial,education,Nombre d'écoles collégial PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau province). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements collegial,territoire_id,Collèges publics recensés,Éducation,True,False,neutre,
117,Écoles publiques recensées (province) — primaire,Nombre d'établissements primaire,education,Nombre d'écoles primaire PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau province). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements primaire,territoire_id,Écoles primaires publiques recensées,Éducation,True,False,neutre,
118,Écoles publiques recensées (province) — qualifiant,Nombre d'établissements qualifiant,education,Nombre d'écoles qualifiant PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau province). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements qualifiant,territoire_id,Lycées publics recensés,Éducation,True,False,neutre,
119,Écoles publiques recensées (commune) — collégial,Nombre d'établissements collegial,education,Nombre d'écoles collégial PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau commune). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements collegial,territoire_id,Collèges publics recensés (commune),Éducation,False,True,neutre,
120,Écoles publiques recensées (commune) — primaire,Nombre d'établissements primaire,education,Nombre d'écoles primaire PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau commune). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements primaire,territoire_id,Écoles primaires publiques recensées (commune),Éducation,False,True,neutre,
121,Écoles publiques recensées (commune) — qualifiant,Nombre d'établissements qualifiant,education,Nombre d'écoles qualifiant PUBLIQUES dénombrées dans l'annuaire nominatif du MENPS (niveau commune). ATTENTION : ne pas confondre avec le comptage officiel de l'Annuaire Statistique du Maroc — ce dénombrement exclut le privé et reflète la situation antérieure à 2022. Sert à la cartographie et au détail par commune.,établissements,"Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.",2021,actif,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements qualifiant,territoire_id,Lycées publics recensés (commune),Éducation,False,True,neutre,
266,nombre_abonnes,nombre_abonnes,infrastructure,nombre_abonnes. Thème : infrastructure. [Traçabilité : source Annuaire HCP (ONEE).],abonnés,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 5 — Énergie et Eau, tableau 20.",2023,actif,infrastructure_cleaned_activit_de_l_office_national_d_electr,long,valeur,nombre_abonnes,territoire_id,Abonnés à l'électricité (ONEE),hors secteur,True,False,neutre,
267,Activit de l office national d electr — production,production,infrastructure,Activit de l office national d electr — production. Thème : infrastructure. [Traçabilité : source Annuaire HCP (ONEE).],,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 5 — Énergie et Eau, tableau 20.",2023,actif,infrastructure_cleaned_activit_de_l_office_national_d_electr,long,valeur,production,territoire_id,Production d'électricité (ONEE),hors secteur,True,False,neutre,
268,ventes_abonnes,ventes_abonnes,infrastructure,ventes_abonnes. Thème : infrastructure. [Traçabilité : source Annuaire HCP (ONEE).],,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 5 — Énergie et Eau, tableau 20.",2023,actif,infrastructure_cleaned_activit_de_l_office_national_d_electr,long,valeur,ventes_abonnes,territoire_id,Ventes d'électricité aux abonnés,hors secteur,True,False,neutre,
269,ventes_regies_concessions,ventes_regies_concessions,infrastructure,ventes_regies_concessions. Thème : infrastructure. [Traçabilité : source Annuaire HCP (ONEE).],,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 5 — Énergie et Eau, tableau 20.",2023,actif,infrastructure_cleaned_activit_de_l_office_national_d_electr,long,valeur,ventes_regies_concessions,territoire_id,Ventes d'électricité aux régies et concessions,hors secteur,True,False,neutre,
270,Bonne Qualité 2021,Bonne Qualité 2021,infrastructure,"Bonne Qualité 2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Bonne Qualité 2021,territoire_id,Bonne Qualité 2021,non cartographiable,False,False,,
271,Bonne Qualité 2022,Bonne Qualité 2022,infrastructure,"Bonne Qualité 2022. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Bonne Qualité 2022,territoire_id,Bonne Qualité 2022,non cartographiable,False,False,,
272,Bonne Qualité 2023,Bonne Qualité 2023,infrastructure,"Bonne Qualité 2023. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Bonne Qualité 2023,territoire_id,Bonne Qualité 2023,non cartographiable,False,False,,
273,Bonne Qualité 2024,Bonne Qualité 2024,infrastructure,"Bonne Qualité 2024. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Bonne Qualité 2024,territoire_id,Bonne Qualité 2024,non cartographiable,False,False,,
274,Execellante Qaulité 2021,Execellante Qaulité 2021,infrastructure,"Execellante Qaulité 2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Execellante Qaulité 2021,territoire_id,Execellante Qaulité 2021,non cartographiable,False,False,,
275,Execellante Qaulité 2022,Execellante Qaulité 2022,infrastructure,"Execellante Qaulité 2022. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Execellante Qaulité 2022,territoire_id,Execellante Qaulité 2022,non cartographiable,False,False,,
276,Execellante Qaulité 2023,Execellante Qaulité 2023,infrastructure,"Execellante Qaulité 2023. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Execellante Qaulité 2023,territoire_id,Execellante Qaulité 2023,non cartographiable,False,False,,
277,Execellante Qaulité 2024,Execellante Qaulité 2024,infrastructure,"Execellante Qaulité 2024. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Execellante Qaulité 2024,territoire_id,Execellante Qaulité 2024,non cartographiable,False,False,,
278,Qualité Suffisante 2021,Qualité Suffisante 2021,infrastructure,"Qualité Suffisante 2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité Suffisante 2021,territoire_id,Qualité Suffisante 2021,non cartographiable,False,False,,
279,Qualité Suffisante 2022,Qualité Suffisante 2022,infrastructure,"Qualité Suffisante 2022. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité Suffisante 2022,territoire_id,Qualité Suffisante 2022,non cartographiable,False,False,,
280,Qualité Suffisante 2023,Qualité Suffisante 2023,infrastructure,"Qualité Suffisante 2023. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité Suffisante 2023,territoire_id,Qualité Suffisante 2023,non cartographiable,False,False,,
281,Qualité Suffisante 2024,Qualité Suffisante 2024,infrastructure,"Qualité Suffisante 2024. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité Suffisante 2024,territoire_id,Qualité Suffisante 2024,non cartographiable,False,False,,
282,Qualité insuffisante 2021,Qualité insuffisante 2021,infrastructure,"Qualité insuffisante 2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité insuffisante 2021,territoire_id,Qualité insuffisante 2021,non cartographiable,False,False,,
283,Qualité insuffisante 2022,Qualité insuffisante 2022,infrastructure,"Qualité insuffisante 2022. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité insuffisante 2022,territoire_id,Qualité insuffisante 2022,non cartographiable,False,False,,
284,Qualité insuffisante 2023,Qualité insuffisante 2023,infrastructure,"Qualité insuffisante 2023. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité insuffisante 2023,territoire_id,Qualité insuffisante 2023,non cartographiable,False,False,,
285,Qualité insuffisante 2024,Qualité insuffisante 2024,infrastructure,"Qualité insuffisante 2024. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Qualité insuffisante 2024,territoire_id,Qualité insuffisante 2024,non cartographiable,False,False,,
286,Evolution du nombre de plages par reg — Total 2021,Total 2021,infrastructure,"Evolution du nombre de plages par reg — Total 2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",nombre,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Total 2021,territoire_id,Evolution du nombre de plages par reg — Total 2021,non cartographiable,False,False,neutre,
287,Evolution du nombre de plages par reg — Total 2022,Total 2022,infrastructure,"Evolution du nombre de plages par reg — Total 2022. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",nombre,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Total 2022,territoire_id,Evolution du nombre de plages par reg — Total 2022,non cartographiable,False,False,neutre,
288,Evolution du nombre de plages par reg — Total 2023,Total 2023,infrastructure,"Evolution du nombre de plages par reg — Total 2023. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",nombre,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Total 2023,territoire_id,Evolution du nombre de plages par reg — Total 2023,non cartographiable,False,False,neutre,
289,Evolution du nombre de plages par reg — Total 2024,Total 2024,infrastructure,"Evolution du nombre de plages par reg — Total 2024. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",nombre,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg,long,valeur,Total 2024,territoire_id,Evolution du nombre de plages par reg — Total 2024,non cartographiable,False,False,neutre,
290,nbre_prelevements_2021,nbre_prelevements_2021,infrastructure,"nbre_prelevements_2021. Thème : infrastructure. [Traçabilité : origine probable, valeurs non recoupées.]",,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-32 à 23-34.",2024,actif,infrastructure_cleaned_evolution_du_nombre_de_plages_par_reg_2,long,valeur,nbre_prelevements_2021,territoire_id,nbre_prelevements_2021,non cartographiable,False,False,,
